"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"84","RT @MallonDan: The #Celtics and #Bucks almost look like they’re kidding around. Maybe we should rest Embiid in the next series just for the…",FALSE,0,NA,2018-04-27 02:01:03,FALSE,NA,"989685829185556481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Danny_PTJ",1,TRUE,FALSE,NA,NA
"85","Just realized the Celtics and Bucks is the only game on tonight https://t.co/z1wzCdX5Ok",FALSE,0,NA,2018-04-27 02:01:03,FALSE,NA,"989685829059645445",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tripled87",0,FALSE,FALSE,NA,NA
"86","Another awful end to a quarter for the Celtics. Deficit is still 9 heading to the 4th quarter. Time to make a run a… https://t.co/67M1sJvdSz",FALSE,0,NA,2018-04-27 02:01:03,TRUE,NA,"989685826266320900",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TWfan19",0,FALSE,FALSE,NA,NA
"87","Fim do 3ºQ - #Celtics 65 x 74 #FearTheDeer 

#CUsRise  #NBAnaSportTV",FALSE,0,NA,2018-04-27 02:01:02,FALSE,NA,"989685824102035456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","torcidacelta",0,FALSE,FALSE,NA,NA
"88","Lezzzgggooo celtics <ed><U+00A0><U+00BC><ed><U+00BF><U+0080>",FALSE,0,NA,2018-04-27 02:01:01,FALSE,NA,"989685821572694016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Clrks",0,FALSE,FALSE,NA,NA
"89","Celtics got this",FALSE,0,NA,2018-04-27 02:01:01,FALSE,NA,"989685821006602240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BillyGlidden",0,FALSE,FALSE,NA,NA
"90","RT @celtics: Halftime: Bucks 48, Celtics 39.

Terry Rozier continues to lead the game in scoring with 14 points, but a late second-quarter…",FALSE,0,NA,2018-04-27 02:01:01,FALSE,NA,"989685820301955075",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",78,TRUE,FALSE,NA,NA
"91","Celtics 65 Bucks 74. End of 3rd quarter. — feeling concerned",FALSE,0,NA,2018-04-27 02:01:01,FALSE,NA,"989685819446308866",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","tonybologna1971",0,FALSE,FALSE,NA,NA
"92","@BillSimmons Celtics have gotten hammered the last 2 mins of every quarter.",FALSE,0,"BillSimmons",2018-04-27 02:01:01,FALSE,NA,"989685819286999041","32765534","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrewPaPa",0,FALSE,FALSE,NA,NA
"93","Celtics outscore  bucks 32 -20 in fourth quarter",FALSE,1,NA,2018-04-27 02:00:59,FALSE,NA,"989685810394906625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Popit4Gee",0,FALSE,FALSE,NA,NA
"94","Smh @celtics",FALSE,0,NA,2018-04-27 02:00:59,FALSE,NA,"989685809229041664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","p0is0n0uz",0,FALSE,FALSE,NA,NA
"95","This Celtics offense is so frustrating. Hot for 5 minutes, cold for 5 minutes repeat....",FALSE,0,NA,2018-04-27 02:00:58,FALSE,NA,"989685807748444160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oomfisme",0,FALSE,FALSE,NA,NA
"96","RT @DJ_Bean: I am full frustrate on #celtics",FALSE,0,NA,2018-04-27 02:00:57,FALSE,NA,"989685804611063808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","naughtgonnalie",2,TRUE,FALSE,NA,NA
"97","this @celtics vs @Bucks game is gonna have close finish…. i think…. cause as I’m typing this tweet the @bucks are m… https://t.co/awcEonzg9C",FALSE,0,NA,2018-04-27 02:00:57,TRUE,NA,"989685804057309184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bassyspusic",0,FALSE,FALSE,NA,NA
"98","The Bucks hold a 74-65 lead over the Boston Celtics at the end of the 3rd. HUGE 4th quarter coming up, who wants it more?",FALSE,1,NA,2018-04-27 02:00:57,FALSE,NA,"989685800987082752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CreamCityCtral",0,FALSE,FALSE,NA,NA
"99","Bucks entered the 3rd quarter up 9 and they end it that way as well, up 74-65. Lots of twists and turns along the w… https://t.co/AS5dVNfFau",FALSE,7,NA,2018-04-27 02:00:57,TRUE,NA,"989685800697778178",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Matt_Velazquez",2,FALSE,FALSE,NA,NA
"100","On fire!! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BC><ed><U+00BF><U+0080><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #Bucks #Celtics #Playoffs2018 #NBAPlayoffs",FALSE,0,NA,2018-04-27 02:00:55,FALSE,NA,"989685796084076544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AcostaZiary",0,FALSE,FALSE,NA,NA
